feature	std_effect	effect_mean_diff	p_value	p_adj_bh	direction
f6641	0.24844254518788642	0.0001663438138457	0.0003748811847119	0.0415003603400042	up
f10028	0.2248913156064366	2.3682951887167292e-05	0.0003762398209313	0.041510526775344	up
f9915	0.2782577829742102	4.804267391591565e-06	0.0003846219536768	0.0422929267720889	up
f20174	0.10449488846418593	2.534420435949869e-06	0.0003915272216497	0.0424819999967533	up
f20522	0.11811165874730961	2.7228403943809097e-05	0.0003883390717448	0.0424819999967533	up
f16997	0.16205066101438126	1.025000746085425e-05	0.0003911183379668	0.0424819999967533	up
f19857	0.2748554231583718	1.6190546566576814e-05	0.0003891236646164	0.0424819999967533	up
f10425	0.22551946006347867	5.2931939117115695e-06	0.0003940718566039	0.0426169854693046	up
f21108	0.21051011067175895	8.544648518727627e-05	0.0003966395119537	0.0427535642358586	up
f29440	0.26280801887388866	0.0001064396257788	0.0004016918069227	0.0431561873089994	up
